video_link,thumbnail_link,duration
https://www.youtube.com//watch?v=W3I3kAg2J7w,https://i.ytimg.com/vi/W3I3kAg2J7w/hqdefault.jpg,"15 minutes, 30 seconds"
https://www.youtube.com//watch?v=eMlx5fFNoYc,https://i.ytimg.com/vi/eMlx5fFNoYc/hqdefault.jpg,"26 minutes, 10 seconds"
https://www.youtube.com//watch?v=wjZofJX0v4M,https://i.ytimg.com/vi/wjZofJX0v4M/hqdefault.jpg,"27 minutes, 14 seconds"
https://www.youtube.com//watch?v=Cz4Q4QOuoo8,https://i.ytimg.com/vi/Cz4Q4QOuoo8/hqdefault.jpg,"13 minutes, 25 seconds"
https://www.youtube.com//watch?v=KTzGBJPuJwM,https://i.ytimg.com/vi/KTzGBJPuJwM/hqdefault.jpg,"29 minutes, 24 seconds"
https://www.youtube.com//watch?v=6a1fLEToyvU,https://i.ytimg.com/vi/6a1fLEToyvU/hqdefault.jpg,"22 minutes, 12 seconds"
https://www.youtube.com//watch?v=aXRTczANuIs,https://i.ytimg.com/vi/aXRTczANuIs/hqdefault.jpg,"21 minutes, 33 seconds"
https://www.youtube.com//watch?v=QCX62YJCmGk,https://i.ytimg.com/vi/QCX62YJCmGk/hqdefault.jpg,"9 minutes, 57 seconds"
https://www.youtube.com//watch?v=d_qvLDhkg00,https://i.ytimg.com/vi/d_qvLDhkg00/hqdefault.jpg,"13 minutes, 16 seconds"
https://www.youtube.com//watch?v=YtkIWDE36qU,https://i.ytimg.com/vi/YtkIWDE36qU/hqdefault.jpg,"16 minutes, 13 seconds"
https://www.youtube.com//watch?v=NOCsdhzo6Jg,https://i.ytimg.com/vi/NOCsdhzo6Jg/hqdefault.jpg,4 minutes
https://www.youtube.com//watch?v=IaSGqQa5O-M,https://i.ytimg.com/vi/IaSGqQa5O-M/hqdefault.jpg,"27 minutes, 25 seconds"
https://www.youtube.com//watch?v=cy8r7WSuT1I,https://i.ytimg.com/vi/cy8r7WSuT1I/hqdefault.jpg,"24 minutes, 46 seconds"
https://www.youtube.com//watch?v=zeJD6dqJ5lo,https://i.ytimg.com/vi/zeJD6dqJ5lo/hqdefault.jpg,"31 minutes, 15 seconds"
https://www.youtube.com//watch?v=KuXjwB4LzSA,https://i.ytimg.com/vi/KuXjwB4LzSA/hqdefault.jpg,"23 minutes, 1 second"
https://www.youtube.com//watch?v=851U557j6HE,https://i.ytimg.com/vi/851U557j6HE/hqdefault.jpg,"17 minutes, 26 seconds"
https://www.youtube.com//watch?v=cDofhN-RJqg,https://i.ytimg.com/vi/cDofhN-RJqg/hqdefault.jpg,"17 minutes, 1 second"
https://www.youtube.com//watch?v=VYQVlVoWoPY,https://i.ytimg.com/vi/VYQVlVoWoPY/hqdefault.jpg,"18 minutes, 49 seconds"
https://www.youtube.com//watch?v=bOXCLR3Wric,https://i.ytimg.com/vi/bOXCLR3Wric/hqdefault.jpg,"34 minutes, 36 seconds"
https://www.youtube.com//watch?v=fRed0Xmc2Wg,https://i.ytimg.com/vi/fRed0Xmc2Wg/hqdefault.jpg,"10 minutes, 53 seconds"
https://www.youtube.com//watch?v=v68zYyaEmEA,https://i.ytimg.com/vi/v68zYyaEmEA/hqdefault.jpg,"30 minutes, 38 seconds"
https://www.youtube.com//watch?v=ltLUadnCyi0,https://i.ytimg.com/vi/ltLUadnCyi0/hqdefault.jpg,"40 minutes, 6 seconds"
https://www.youtube.com//watch?v=F3Qixy-r_rQ,https://i.ytimg.com/vi/F3Qixy-r_rQ/hqdefault.jpg,"12 minutes, 40 seconds"
https://www.youtube.com//watch?v=LqbZpur38nw,https://i.ytimg.com/vi/LqbZpur38nw/hqdefault.jpg,"27 minutes, 36 seconds"
https://www.youtube.com//watch?v=-RdOwhmqP5s,https://i.ytimg.com/vi/-RdOwhmqP5s/hqdefault.jpg,"26 minutes, 6 seconds"
https://www.youtube.com//watch?v=ojjzXyQCzso,https://i.ytimg.com/vi/ojjzXyQCzso/hqdefault.jpg,"24 minutes, 21 seconds"
https://www.youtube.com//watch?v=e50Bj7jn9IQ,https://i.ytimg.com/vi/e50Bj7jn9IQ/hqdefault.jpg,"13 minutes, 13 seconds"
https://www.youtube.com//watch?v=O85OWBJ2ayo,https://i.ytimg.com/vi/O85OWBJ2ayo/hqdefault.jpg,"27 minutes, 7 seconds"
https://www.youtube.com//watch?v=lG4VkPoG3ko,https://i.ytimg.com/vi/lG4VkPoG3ko/hqdefault.jpg,"21 minutes, 14 seconds"
https://www.youtube.com//watch?v=b3NxrZOu_CE,https://i.ytimg.com/vi/b3NxrZOu_CE/hqdefault.jpg,"16 minutes, 50 seconds"
